state,name,address,phone,mobile,email,website,contact_person,purpose
maharashtra,Udaan Multipurpose Society,"Near Dr. Ram Rathod Hospital, Vasant Nagar, Pusad Yavatmal Maharashtra 445204",,88550 56466,udaanmsociety@gmail.com,,,
maharashtra,Bhimashishya Magaswargiya Bahuuddeshiya Vikas Sanstha,"Khandala, Jawala, Arni Yavatmal Maharashtra 445105",0723-4241409,98503 55720,sanjaykamble08@rediffmail.com,www.bmvs.org,,
maharashtra,Institute Of Social Awareness And Reform-ISAR,"Diwakar Bhoyer, Mainde Chowk Yavatmal Maharashtra 445001",,94221 66610,isarkulbhushan@gmail.com,www.isar.org,Diwakar,
maharashtra,Janhit Bahuuddeshiya Gramin Vikas Sanstha,Telang Takali Yavatmal Maharashtra 445302,,82753 94611,jbgvsanstha@gmail.com,,,
maharashtra,Jayyug Bahuuddeshiy Sanstha (NGO),"Sawali Sadoba, Arni Yavatmal Maharashtra 445106",,98675 14939,jayyugngo@gmail.com,www.jayyug.org,Pradeep Jadhav Purpose,
maharashtra,Ramsing Naik Shikshan Va Gram Vikas Snsatha,"64, Sahkarya Nagar, Chausala Road Yavatmal Maharashtra 445001",,73505 63450,ram_naikbharat@rediffmail.com,,Bharat Pawar,
maharashtra,Snehdeep Bahuuddeshiya Gramin Vikas Sanstha,"Rajesh Jadhav, 31, Swapna Nagari, 2, Wadgaon Road Yavatmal Maharashtra 445001",,"94054 00564, 94237 26167",sdbgvs5@gmail.com,,,
maharashtra,Adarsh Gramin Vikas Sanstha,"Pragati Nagar, Near Brahmahkumari, Warora Road, Yavatmal Wani Maharashtra 445304",07239-226203,"84128 78686, 97656 25324",,,,
maharashtra,Shramsafalya Bahuuddeshiya Sanstha,"Jesis Colony, Ghatanji Yavatmal Maharashtra 445301",,91467 77000,shramsaflyaofficialmail@gmail.com,,Amit Arun Padalwar,
maharashtra,Satyagrahi Sanstha,"Kelzar, Seloo, Amgaon, Khadki Wardha Maharashtra 442104",,96238 08562,kailash_waghmare123@rediffmail.com,,Kailas Waghmare,
maharashtra,Ahilyabaiholkar Bahuuddeshiya Sanstha,"Indraprastha Nagar, Waghapur Road, Babhulgaon Yavatmal Maharashtra 445001",,"99221 22474, 95528 59262",manojkhadatkar1802@gmail.com,,,
maharashtra,Srjindagi Foundation,"A/201, Sonam Sapphire, Golden Nest Phase Vth, Mira Bhayandar Road Thane Maharashtra 401107",,"97687 07893, 99871 91991",,,,
maharashtra,Janiv Shaikshanik Samajik Aani Bahu Uddeshiya Sanstha,"23, Vijayshree Chs, Guru Mandir Road, Saraswat Colony, Dombivli Thane Maharashtra 421201",,99204 31725,janivekchalval@gmail.com,,,
maharashtra,Navjeevan Lok Vikas Sanstha,"Neeta Society, Rambaug Lane, 04, kalyan Thane Maharashtra 421301",0251-5231521,92204 64495,navlok@gmail.com,,,
maharashtra,Abhinav Foundation,"361, Maharal Pada, Kalyan, Murbad Road Thane Maharashtra 421301",,91581 37150,foundationabhinav@gmail.com,,,
maharashtra,Dhara Welfare Trust,"B105, Rahul Enclave, Rahul Park, Bhayandar Thane Maharashtra 401105",022-64646595,88794 47993,dharawelfaretrust@gmail.com,,,
maharashtra,Be Positive Social Educational Welfare Association,"A-3, Jay Mahalaxmi Apt, Dombivli-West Thane Maharashtra 421202",,88792 30443,nileshbpositive@gmail.com,,,
